G-mag,Error
5.078144078144078, 0.04098978388656537
5.253968253968254, 0.04265689842893934
5.371184371184372, 0.04439181696132916
5.527472527472527, 0.044836461704385315
5.6642246642246645, 0.047127390227813024
5.820512820512821, 0.05053267299968593
5.996336996336996, 0.05418401121193778
6.543345543345543, 0.06814352862027954
6.8168498168498175, 0.07757003169780204
7.09035409035409, 0.08830053182492976
7.2857142857142865, 0.0975545286671316
7.500610500610501, 0.10565127135884779
7.715506715506716, 0.1167236455713591
7.891330891330891, 0.12641136932076194
8.067155067155067, 0.13554547278025736
8.282051282051281, 0.1410583056717473
8.36019536019536, 0.09562921964184948
8.418803418803419, 0.06951546651916186
8.496947496947497, 0.06292124771208302
8.750915750915752, 0.06613622221349807
8.985347985347985, 0.06814352862027954
9.122100122100122, 0.061067774224395736
9.434676434676435, 0.06418804510471876
9.747252747252748, 0.06746774688767819
9.903540903540904, 0.0604621629931161
10.255189255189254, 0.062297255520054794
10.41147741147741, 0.05582855499158903
10.743589743589745, 0.059268898572804825
10.93894993894994, 0.05986255762938456
11.075702075702075, 0.05364666649678316
11.36874236874237, 0.05206639468606553
11.661782661782663, 0.05364666649678316
11.857142857142858, 0.055274901278834006
12.15018315018315, 0.05582855499158903
12.365079365079367, 0.0604621629931161
12.65811965811966, 0.06882607923091795
12.951159951159951, 0.07992436668081018
13.38095238095238, 0.09658707702879418
13.713064713064714, 0.11216185851843773
13.986568986568987, 0.12767755202465905
14.35775335775336, 0.15276573556924208
14.670329670329672, 0.17739939282223355
15.08058608058608, 0.21653113901700188
15.451770451770454, 0.26167376323282376
15.783882783882785, 0.3069126331850044
16.037851037851038, 0.3493687979863669
16.428571428571427, 0.43070583816190317
16.7997557997558, 0.5204998136980349
17.249084249084248, 0.6744647847695325
17.62026862026862, 0.8398163658554993
17.874236874236875, 0.9752377575363604
18.167277167277167, 1.1668684982005795
18.460317460317462, 1.410138387061291
18.987789987789988, 2.03897998749262
19.33943833943834, 2.589970639503054
19.65201465201465, 3.257229105987194
19.92551892551893, 3.9757268451616863
20.15995115995116, 4.7097682204276445
20.433455433455432, 5.806255969678039
20.765567765567766, 7.302131403650186
20.902319902319903, 7.908187113049313
