,id,seed
0,4055509056635187968,653158071
1,4055509056637040128,653158072
2,4055509056637740160,653158073
3,4055509056637753216,653158074
4,4055509056639280000,653158075
5,4055509056639280128,653158076
6,4055509056639280256,653158077
7,4055509056639280384,653158078
8,4055509056639280512,653158079
9,4055509056649544704,653158080
10,4055509060931046272,653158081
11,4055509060931047424,653158082
12,4055509060931070208,653158083
13,4055509060931079552,653158084
14,4055509060931089024,653158085
15,4055509060931091840,653158086
16,4055509060931100800,653158087
17,4055509060931101056,653158088
18,4055509060931101184,653158089
19,4055509060931122560,653158090
20,4055509060931130368,653158091
21,4055509060931135744,653158092
22,4055509060931136384,653158093
23,4055509060931140608,653158094
24,4055509060931149184,653158095
25,4055509060931158784,653158096
26,4055509060931160576,653158097
27,4055509060931161088,653158098
28,4055509060931165952,653158099
29,4055509060931166080,653158100
30,4055509060931196800,653158101
31,4055509060931197312,653158102
32,4055509060931197440,653158103
33,4055509060934648960,653158104
34,4055509060934651520,653158105
35,4055509060934653568,653158106
36,4055509060934660224,653158107
37,4055509060934668160,653158108
38,4055509060934670976,653158109
39,4055509060934712448,653158110
40,4055509060934721024,653158111
41,4055509060934740992,653158112
42,4055509060936846336,653158113
43,4055509060936852096,653158114
44,4055509060936856192,653158115
45,4055509060936857216,653158116
46,4055509060936864640,653158117
47,4055509060936875392,653158118
48,4055509060936884352,653158119
49,4055509060936888064,653158120
50,4055509060936889216,653158121
51,4055509060936889344,653158122
52,4055509060936918528,653158123
53,4055509060955980288,653158124
54,4055509060955983488,653158125
55,4055509060955983744,653158126
56,4055509060955989120,653158127
57,4055509060955989888,653158128
58,4055509060955996800,653158129
59,4055509060956003072,653158130
60,4055509060956004736,653158131
61,4055509060956009088,653158132
62,4055509060956009472,653158133
63,4055509060956984960,653158134
64,4055509060957147648,653158135
65,4055509060963842816,653158136
66,4055509060963843712,653158137
67,4055509090994951424,653158138
68,4055509090994961024,653158139
69,4055509090994977024,653158140
70,4055509090994978048,653158141
71,4055509090994982016,653158142
72,4055509090997485952,653158143
73,4055509090997496192,653158144
74,4055509090997496448,653158145
75,4055509090999019136,653158146
76,4055509090999124736,653158147
77,4055509091009331328,653158148
78,4055509095290810624,653158149
79,4055509095290811520,653158150
80,4055509095290820992,653158151
81,4055509095290829568,653158152
82,4055509095290832896,653158153
83,4055509095290837376,653158154
84,4055509095290838016,653158155
85,4055509095290845568,653158156
86,4055509095290853376,653158157
87,4055509095290854912,653158158
88,4055509095290856448,653158159
89,4055509095290859392,653158160
90,4055509095290871552,653158161
91,4055509095290885504,653158162
92,4055509095290889088,653158163
93,4055509095290889216,653158164
94,4055509095290892544,653158165
95,4055509095290892672,653158166
96,4055509095290893952,653158167
97,4055509095290905600,653158168
98,4055509095290913920,653158169
99,4055509095290921728,653158170
100,4055509095290932224,653158171
