start,end,ra,dec,BH,DM
0,3111,44.94051201867685,8.026865410066748,0.0009289703474371566,0.0022900783357325946
3112,5263,51.47639719137602,14.683898003619413,0.0006512091484271068,0.0015217186566088919
5264,6601,58.334360996081045,19.281806521762206,0.0004197454166983662,0.000918977164971756
6602,7952,53.39394129540044,22.525408746308724,0.00042805559700130705,0.0009366130694061439
7953,10234,38.339069234888434,18.063131729627866,0.000727410439982717,0.0016895667715321082
10235,12597,32.77126033925157,22.089728194736633,0.0007924196728371313,0.0017799737640975593
12598,14045,47.73192334275937,27.356778225460467,0.00047757507750252165,0.0010173157856332468
14046,15369,41.71615456248701,30.61095421014001,0.00045667070898216004,0.0009483473407064635
15370,16240,45.04913628880286,35.16715683511461,0.0003139276275291269,0.0006148872534484521
16241,17018,64.04741464810179,26.385269490310094,0.0002707267739805468,0.0005258321356111753
17019,17658,68.95625237080932,26.853546501467946,0.00022668958761154912,0.00042687513431717984
17659,18028,74.39374295080913,29.729821415908432,0.0001415186536399376,0.00024487220564329507
18029,18472,70.8927704929421,31.443670680577878,0.00016825233682854927,0.0002952232904815927
18473,19161,62.00853370151193,29.159651276046386,0.00023863647546717548,0.0004649367864428842
19162,19657,63.92746242197149,32.548982070079795,0.00018069628659017216,0.00033344768714006713
19658,20091,68.52096131453938,35.30560590908305,0.00016879546260855854,0.00028980441881172565
20092,20493,66.72899150418534,37.67261660957916,0.00015969674245185648,0.0002696532810711801
20494,20747,78.86851446974549,32.95228108638743,0.00010561610173597414,0.00016757094018359224
20748,20984,81.55320629807018,35.73796841777092,0.00010302135476346471,0.0001563996951534479
20985,21233,76.0714960004357,35.6347519591641,0.00010372914056473906,0.00016486227979988605
21234,21441,78.55020841641942,38.17511181205086,9.107847695074593e-05,0.0001377669823459702
21442,21665,83.06322225800272,38.63278906771051,9.43595689859404e-05,0.00014818667366280324
21666,21919,86.18756714505552,40.64754199552969,0.00010144433363144025,0.00016834256766310466
21920,22158,84.2672267014224,41.8162191439374,9.704408006983092e-05,0.00015871503080161877
22159,22410,84.51127069932153,43.57647734601202,0.00010092738469524867,0.00016779484284188423
22411,22698,78.34509744124728,41.24983175311005,0.00011666309487676697,0.00019193412788125387
22699,22881,74.74927232712542,40.3485527748349,7.991788766325518e-05,0.00012185892592909335
22882,23058,75.43322482668754,42.217921795751046,7.79183515926491e-05,0.00011809453230680593
23059,23264,70.51928524749087,41.72422880949289,8.917574929219517e-05,0.00013800101057683998
23265,23450,74.2766083180006,44.17656636795322,8.298370967484096e-05,0.00012458577570690894
23451,23649,77.91312392928462,44.99421567744199,8.540450067069982e-05,0.00013316167947185017
23650,23910,83.19884888507794,46.23490728768216,0.00010455960225889629,0.00017465990347553622
23911,24205,83.72441334372988,48.14667823504768,0.0001165200554799417,0.00019820675890898032
24206,24526,84.03166400318428,50.222198339041405,0.00012525796037449888,0.00021665900042698512
24527,25166,58.65903507367322,35.702684933693845,0.00023138070893259188,0.00043648215649510786
25167,25691,56.30197836209437,37.670497401984456,0.00019812679201480676,0.00035934408004536714
25692,26057,63.29735514912826,40.459031819007556,0.00014817692398699732,0.0002474397574146284
26058,26390,60.393869007461205,42.16863322496226,0.00013658664862235787,0.00022676120806324498
26391,26648,61.66148766585865,44.37782784519094,0.00011089741224239448,0.00017586783168590901
26649,27106,51.99763812559666,40.22172725035022,0.00017758097892722684,0.00031721504341398045
27107,27517,49.3442197410105,42.68261499566576,0.00016522456819228757,0.00028718223906172124
27518,27832,54.24410080270145,44.97624130869963,0.00013267155272667834,0.00021803163253108143
27833,28076,59.896922103218465,47.2000089246098,0.00010877511815680972,0.00016746339718733545
28077,28338,56.632578536068664,48.14750917160195,0.00011761818660210489,0.00018125071674036355
28339,28592,57.51349683341133,50.31034383907128,0.00011896363776999364,0.00017606358326022702
28593,28826,65.85121694052147,47.086445294371366,0.00010784799209788166,0.0001592749147504472
28827,29041,71.58525293855378,46.67625835151043,9.669140146556428e-05,0.00014503479760107307
29042,29261,71.3806931607819,48.1380739784441,9.79684514353932e-05,0.00014889120825709452
29262,29488,68.50580727598022,48.91633635852763,0.00010483104600522656,0.0001543104606017142
29489,29738,73.90163658676042,51.2828016417755,0.00010790529049917709,0.00016996672306546597
29739,30063,81.93200232790835,52.22532162307235,0.00012858117724123298,0.00022057080168357116
30064,30435,81.57785284355604,54.48354638734181,0.0001467379221579993,0.00025411657111232126
30436,30827,79.18634055176169,55.34228631113392,0.00015866544333294148,0.00026932766355249174
30828,31045,67.13006486024709,52.28276647944403,0.0001006580713072905,0.00014956967715517466
31046,31276,69.80501756372288,54.433341465221375,0.00010235947038444984,0.0001589430360941866
31277,31482,63.90452280900572,54.67686752507337,9.685822600139829e-05,0.00014274665161499457
31483,31740,69.42261198100161,57.3578245514446,0.00011274389176379896,0.00017902394695914337
31741,32189,80.54397501948064,58.47928597880965,0.00017714691607150916,0.0003106394472041157
32190,32704,80.65583454706717,61.568578342067205,0.00020242589605275766,0.00036021750565375305
32705,34569,25.696492893593867,27.87172961266423,0.0006847008685719927,0.0014441116574579807
34570,36209,19.982144674502262,31.21999739772905,0.0006561256230045475,0.0012964426287507148
36210,37375,27.793558651488336,35.80854193103234,0.0004590712292632628,0.0008819782366793054
