source_id,delta_ra0 [mas],delta_dec0 [mas],pm_ra [mas/yr],pm_dec[mas/yr],dist [pc],ts
4055509056635187968,0.2275957119816119,0.025030579792850987,-2.1550638237662834,-6.467788047700615,6347.682363536762,76.09498061576747
4055509056637040128,-0.12080216702977147,0.012734951209426693,0.3925179251977772,-4.1680716064082235,6347.6826220060275,78.09058635962931
4055509056637740160,-0.047678320207751826,0.08238078793733715,-4.091950098012463,-6.834752282736547,6347.682158496932,72.97044669117463
4055509056637753216,0.08770687669963745,-0.02900648194788207,-2.5745727109245293,-2.473789231695524,15020.217517775069,62.070467062594076
4055509056639280000,0.1619791385368032,-0.09875613755109934,0.4271574241757063,-11.809353995460691,6347.682576260855,83.95522678862736
4055509056639280128,0.22724333351665602,-0.18251806550083227,-0.22693188015335494,-5.765472859581953,6347.681975471002,57.35684562001546
4055509056639280256,0.10149096503633595,0.2566920385529278,0.5164959582830513,-4.9741559375871285,6347.682617095188,72.69394210523042
4055509056639280384,-0.22435888004979143,-0.025316543531784443,-5.163523605563126,-4.950217498540584,6347.682386986775,83.36787482897714
4055509056639280512,-0.24889877038984032,0.07566332951232507,-4.467512371541136,-3.7105417779665784,6347.68272761836,70.99452649547254
4055509056649544704,-0.08093169810529373,-0.02728343583521714,-0.9343351746775612,0.8890479540868369,1194.847260781341,64.43717894932654
4055509060931046272,-0.06274569975775181,-0.23767239739966006,-1.9242698641294937,-6.071309061445216,6347.682634054253,76.38944393771963
4055509060931047424,-0.3016873350605884,-0.21668031325727563,-1.7013656385976974,-9.530276197058138,6347.68188428037,99.02927091285082
4055509060931070208,0.1429689661954842,-0.10615411829608143,-6.769767257516602,-7.672623940169797,6347.682704715927,69.9055064440618
4055509060931079552,-0.007308495610565159,-0.0029790005129043937,1.4040723356570484,-1.812037025989504,1454.2698514007063,68.51780295810616
4055509060931089024,-0.323808127744554,0.19405805943704885,-2.924121659192321,-5.967704346058082,6347.682615564724,64.99528211252525
4055509060931091840,0.10821601858551544,0.05110998696832622,-4.7053075620259435,-2.041571394390882,6347.682243459426,79.34464844861894
4055509060931100800,0.037373770294850464,-0.2863990972983059,-2.30095151024132,-9.038636794999611,757.365902660171,66.01108219924033
4055509060931101056,-0.32100434044634696,0.13543158590930804,-6.0589528007106805,-8.77390396892201,6347.682623915736,88.30988063093562
4055509060931101184,-0.28392879471342936,-0.1861431465400739,-4.647575834805236,-4.721880399509437,6347.682618193868,90.40568101831413
4055509060931122560,-0.02468683948581325,0.03713378444978417,-1.5341783883949098,-7.781017524526808,6347.682563449045,73.91007212952404
